dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,19,CMENDTC,End Date/Time of Medication,Char,date,10,,No,TIMING,,"CRF Page 124, 125, 126",,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,20,CMSTDY,Study Day of Start of Medication,Num,integer,8,,No,TIMING,,Derived,,,
CM,Concomitant Medications,One record per recorded medication occurrence or constant-dosing interval per subject,21,CMENDY,Study Day of End of Medication,Num,integer,8,,No,TIMING,,Derived,,,
EX,Exposure,One record per constant dosing interval per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
EX,Exposure,One record per constant dosing interval per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
EX,Exposure,One record per constant dosing interval per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
EX,Exposure,One record per constant dosing interval per subject,4,EXSEQ,Sequence Number,Num,integer,8,,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
EX,Exposure,One record per constant dosing interval per subject,5,EXTRT,Name of Actual Treatment,Char,text,10,3,Yes,TOPIC,EXTRT,eDT,,,
EX,Exposure,One record per constant dosing interval per subject,6,EXDOSE,Dose per Administration,Num,integer,8,,No,RECORD QUALIFIER,,eDT,,,
EX,Exposure,One record per constant dosing interval per subject,7,EXDOSU,Dose Units,Char,text,2,,No,VARIABLE QUALIFIER,EXDOSEU,eDT,,,
EX,Exposure,One record per constant dosing interval per subject,8,EXDOSFRM,Dose Form,Char,text,5,,No,RECORD QUALIFIER,EXDOSFRM,eDT,,,
EX,Exposure,One record per constant dosing interval per subject,9,EXDOSFRQ,Dosing Frequency per Interval,Char,text,2,,No,VARIABLE QUALIFIER,EXFREQ,eDT,,,
EX,Exposure,One record per constant dosing interval per subject,10,EXROUTE,Route of Administration,Char,text,11,,No,VARIABLE QUALIFIER,EXROUTE,eDT,,,
EX,Exposure,One record per constant dosing interval per subject,11,VISITNUM,Visit Number,Num,float,8,,No,TIMING,VISITNUM,"CRF Pages 25, 36, 42, 49, 52, 58, 67, 73, 82, 90, 99, 108, 116, 128",,,
EX,Exposure,One record per constant dosing interval per subject,12,VISIT,Visit Name,Char,text,19,,No,TIMING,VISIT,"CRF Pages 25, 36, 42, 49, 52, 58, 67, 73, 82, 90, 99, 108, 116, 128",,,
EX,Exposure,One record per constant dosing interval per subject,13,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,TIMING,,Derived,TV.VISITDY,,
EX,Exposure,One record per constant dosing interval per subject,14,EXSTDTC,Start Date/Time of Treatment,Char,date,10,4,No,TIMING,,"CRF Pages 25, 36, 42, 49, 52, 58, 67, 73, 82, 90, 99, 108, 116, 128",,,
EX,Exposure,One record per constant dosing interval per subject,15,EXENDTC,End Date/Time of Treatment,Char,date,10,,No,TIMING,,"CRF Page 105, 138",,,
EX,Exposure,One record per constant dosing interval per subject,16,EXSTDY,Study Day of Start of Treatment,Num,integer,8,,No,TIMING,,Derived,,,
EX,Exposure,One record per constant dosing interval per subject,17,EXENDY,Study Day of End of Treatment,Num,integer,8,,No,TIMING,,Derived,,,
AE,Adverse Events,One record per adverse event per subject,1,STUDYID,Study Identifier,Char,text,12,1,Yes,IDENTIFIER,,CRF Page 7,,,
AE,Adverse Events,One record per adverse event per subject,2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,IDENTIFIER,,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,IDENTIFIER,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",,
AE,Adverse Events,One record per adverse event per subject,4,AESEQ,Sequence Number,Num,integer,8,5,Yes,IDENTIFIER,,Derived,Sequential number identifying records within each USUBJID,,
AE,Adverse Events,One record per adverse event per subject,5,AESPID,Sponsor-Defined Identifier,Char,text,3,,No,IDENTIFIER,,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,6,AETERM,Reported Term for the Adverse Event,Char,text,200,3,Yes,TOPIC,,"CRF Page 121, 122, 123",,,
AE,Adverse Events,One record per adverse event per subject,7,AELLT,Lowest Level Term,Char,text,100,,No,VARIABLE QUALIFIER,AEDICT,Assigned,,,
AE,Adverse Events,One record per adverse event per subject,8,AELLTCD,Lowest Level Term Code,Num,integer,8,,No,VARIABLE QUALIFIER,,Assigned,,,
