dataset,dataset_label,structure,order,variable,label,type,datatype,length,key,mandatory,role,codelist,origin,comment,core,change
SV,Subject Visits,One record per actual or planned visit per subject,3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,Identifier,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",Req,unchanged
SV,Subject Visits,One record per actual or planned visit per subject,4,VISITNUM,Visit Number,Num,float,8,3,Yes,Topic,VISITNUM,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128",,Req,unchanged
SV,Subject Visits,One record per actual or planned visit per subject,5,VISIT,Visit Name,Char,text,19,,No,Synonym Qualifier,VISIT,"CRF Pages 7, 22, 25, 32, 36, 42, 49, 52, 58, 67, 73, 82, 88, 90, 99, 108, 116, 121, 122, 123, 123, 125, 126, 128",,Perm,unchanged
SV,Subject Visits,One record per actual or planned visit per subject,6,SVPRESP,Pre-specified,Char,text,1,,No,Variable Qualifier,NY,,,Exp,added (Exp in SDTMIG 3.4)
SV,Subject Visits,One record per actual or planned visit per subject,7,SVOCCUR,Occurrence,Char,text,1,,No,Record Qualifier,NY,,,Exp,added (Exp in SDTMIG 3.4)
SV,Subject Visits,One record per actual or planned visit per subject,8,VISITDY,Planned Study Day of Visit,Num,integer,8,,No,Timing,,Derived,TV.VISITDY,Perm,unchanged
SV,Subject Visits,One record per actual or planned visit per subject,9,SVSTDTC,Start Date/Time of Observation,Char,date,10,,No,Timing,,Derived,Earliest date when data were collected for the corresponding visit.,Exp,label 'Start Date/Time of Visit' -> 'Start Date/Time of Observation'
SV,Subject Visits,One record per actual or planned visit per subject,10,SVENDTC,End Date/Time of Observation,Char,date,10,,No,Timing,,Derived,Lastt date when data were collected for the corresponding visit.,Exp,label 'End Date/Time of Visit' -> 'End Date/Time of Observation'
SV,Subject Visits,One record per actual or planned visit per subject,11,SVSTDY,Study Day of Start of Observation,Num,integer,8,,No,Timing,,,,Perm,added (Perm in SDTMIG 3.4)
SV,Subject Visits,One record per actual or planned visit per subject,12,SVENDY,Study Day of End of Observation,Num,integer,8,,No,Timing,,,,Perm,added (Perm in SDTMIG 3.4)
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",1,STUDYID,Study Identifier,Char,text,12,1,Yes,Identifier,,CRF Page 7,,Req,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",2,DOMAIN,Domain Abbreviation,Char,text,2,,Yes,Identifier,,Assigned,,Req,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",3,USUBJID,Unique Subject Identifier,Char,text,11,2,Yes,Identifier,,Derived,"Concatenation of STUDYID, DM.SITEID and DM.SUBJID",Req,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",4,EXSEQ,Sequence Number,Num,integer,8,,Yes,Identifier,,Derived,Sequential number identifying records within each USUBJID,Req,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",5,EXTRT,Name of Treatment,Char,text,10,3,Yes,Topic,EXTRT,eDT,,Req,label 'Name of Actual Treatment' -> 'Name of Treatment'
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",6,EXDOSE,Dose,Num,integer,8,,No,Record Qualifier,,eDT,,Exp,label 'Dose per Administration' -> 'Dose'
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",7,EXDOSU,Dose Units,Char,text,2,,No,Variable Qualifier,UNIT,eDT,,Exp,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",8,EXDOSFRM,Dose Form,Char,text,5,,No,Variable Qualifier,FRM,eDT,,Exp,unchanged
EX,Exposure,"One record per protocol-specified study treatment, constant-dosing interval, per subject",9,EXDOSFRQ,Dosing Frequency per Interval,Char,text,2,,No,Record Qualifier,FREQ,eDT,,Perm,label 'Dosing Frequency Per Interval' -> 'Dosing Frequency per Interval'
